稳定官方,#genre#
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1-rth.m3u8
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
CCTV1,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv1hd
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV13,http://8.138.7.223/【公众号：榴芒电视】/cctv13.m3u8
CCTV13,http://8.138.7.223/【公众号：榴芒电视】/cctv13-ptb.m3u8
CGTN,http://8.138.7.223/【公众号：榴芒电视】/cgtn.m3u8
CGTN,http://8.138.7.223/【公众号：榴芒电视】/cgtn-rth.m3u8
CGTNDOC,http://8.138.7.223/【公众号：榴芒电视】/cgtndoc.m3u8
CGTNDOC,http://8.138.7.223/【公众号：榴芒电视】/cgtndoc-rth.m3u8

北京卫视4K,http://8.138.7.223/tv/bjws4k.m3u8
江苏卫视,http://8.138.7.223/tv/dl/jstv.php?id=jsws
浙江卫视,http://8.138.7.223/tv/zjws.m3u8
大湾区卫视,http://ali.hlspull.yximgs.com/live/b027460e580a463cb7e44eebexcvhnddggdfsdg.flv
河北卫视,http://8.138.7.223/tv/hebtv.m3u8
内蒙古卫视,http://8.138.7.223/tv/nmgws.m3u8
兵团卫视,http://8.138.7.223/tv/btws.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
藏语卫视,http://php.jdshipin.com:8880/xztv.php?id=zy


翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰电影,https://ali.hlspull.yximgs.com/live/diyp_fhdy.flv


中天新闻,http://ali.hlspull.yximgs.com/live/qwt_zhongtianxinwen.flv

搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv

东森电影,https://ali.hlspull.yximgs.com/live/11q2w3e4r5t6y7u8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
龙祥时代,https://ali.hlspull.yximgs.com/live/14r5t6y7u8i9o0p1q2w3e4r5t6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8.flv
龙祥电影,https://ali.hlspull.yximgs.com/live/diyp_lxdy.flv
V音乐,https://ali.hlspull.yximgs.com/live/diyp_v.flv

人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
音乐欣赏1,http://61.221.215.25:8800/hls/49/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8

百姓健康,http://8.138.7.223/tv/bxjk.m3u8
纬来体育,http://8.138.7.223/【公众号：榴芒电视】/wlty.m3u8
八度空间,http://8.138.7.223/【公众号：榴芒电视】/8tv.m3u8
八度空间,http://php.jdshipin.com/smt.php?id=TV8
翡翠台4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
新加CHU频高,https://cdn6.163189.xyz/live/chu/stream.m3u8
新加CH5频高,https://cdn6.163189.xyz/live/ch5/stream.m3u8
凤凰香港,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8

RTHK-33频道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34频道,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35频道,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8

四川科教,http://8.138.7.223/【公众号：榴芒电视】/四川科教.m3u8

广东珠江,http://8.138.7.223/【公众号：榴芒电视】/gdzj.m3u8


💝咪咕赛事,#genre#
赛事睛彩竞技,http://111.22.153.159:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive
赛事睛彩竞技,http://111.22.153.159:35455/itv/3000000020000011530.m3u8?cdn=FifastbLive
赛事睛彩篮球,http://111.22.153.159:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive
赛事睛彩篮球,http://111.22.153.159:35455/itv/3000000020000011531.m3u8?cdn=FifastbLive
赛事咪咕播01,http://111.22.153.159:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
赛事咪咕播02,http://111.22.153.159:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
赛事咪咕播03,http://111.22.153.159:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
赛事咪咕播04,http://111.22.153.159:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
赛事咪咕播05,http://111.22.153.159:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
赛事咪咕播06,http://111.22.153.159:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
赛事咪咕播07,http://111.22.153.159:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
赛事咪咕播08,http://111.22.153.159:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
赛事咪咕播09,http://111.22.153.159:35455/itv/3000000001000026778.m3u8?cdn=FifastbLive
赛事咪咕播10,http://111.22.153.159:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
赛事咪咕播11,http://111.22.153.159:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
赛事咪咕播12,http://111.22.153.159:35455/itv/3000000010000000097.m3u8?cdn=FifastbLive
赛事咪咕播13,http://111.22.153.159:35455/itv/3000000010000002019.m3u8?cdn=FifastbLive
赛事咪咕播14,http://111.22.153.159:35455/itv/3000000010000002032.m3u8?cdn=FifastbLive
赛事咪咕播15,http://111.22.153.159:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive
赛事咪咕播16,http://111.22.153.159:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive
赛事咪咕播17,http://111.22.153.159:35455/itv/3000000010000004193.m3u8?cdn=FifastbLive
赛事咪咕播18,http://111.22.153.159:35455/itv/3000000010000004464.m3u8?cdn=FifastbLive
赛事咪咕播19,http://111.22.153.159:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
赛事咪咕播20,http://111.22.153.159:35455/itv/3000000010000006077.m3u8?cdn=FifastbLive
赛事咪咕播21,http://111.22.153.159:35455/itv/3000000010000006658.m3u8?cdn=FifastbLive
赛事咪咕播22,http://111.22.153.159:35455/itv/3000000010000006944.m3u8?cdn=FifastbLive
赛事咪咕播23,http://111.22.153.159:35455/itv/3000000010000007692.m3u8?cdn=FifastbLive
赛事咪咕播24,http://111.22.153.159:35455/itv/3000000010000009788.m3u8?cdn=FifastbLive
赛事咪咕播25,http://111.22.153.159:35455/itv/3000000010000010833.m3u8?cdn=FifastbLive
赛事咪咕播26,http://111.22.153.159:35455/itv/3000000010000011112.m3u8?cdn=FifastbLive
赛事咪咕播27,http://111.22.153.159:35455/itv/3000000010000011297.m3u8?cdn=FifastbLive
赛事咪咕播28,http://111.22.153.159:35455/itv/3000000010000011518.m3u8?cdn=FifastbLive
赛事咪咕播29,http://111.22.153.159:35455/itv/3000000010000011763.m3u8?cdn=FifastbLive
赛事咪咕播30,http://111.22.153.159:35455/itv/3000000010000011873.m3u8?cdn=FifastbLive
赛事咪咕播31,http://111.22.153.159:35455/itv/3000000010000012398.m3u8?cdn=FifastbLive
赛事咪咕播32,http://111.22.153.159:35455/itv/3000000010000012450.m3u8?cdn=FifastbLive
赛事咪咕播33,http://111.22.153.159:35455/itv/3000000010000012558.m3u8?cdn=FifastbLive
赛事咪咕播34,http://111.22.153.159:35455/itv/3000000010000012616.m3u8?cdn=FifastbLive
